
file name: temp.txt
date: 23-May-2019
nobs = 8808,  ngood = 8418,  record length (days) = 367.00
start time: 01-Jan-2012
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= 0.00369, x trend= 0

var(x)= 0.077651   var(xp)= 0.064734   var(xres)= 0.012911
percent var predicted/var original= 83.4 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SA   0.0001141    0.1084    0.004   213.22     1.66    8e+02
*SSA  0.0002282    0.0309    0.004    91.01     5.93       74
*MSM  0.0013098    0.0262    0.003   207.61     7.57       65
*MM   0.0015122    0.0122    0.003   332.78    15.47       12
*MSF  0.0028219    0.0131    0.003    42.72    16.00       15
*MF   0.0030501    0.0215    0.003   326.94     9.39       40
 ALP1 0.0343966    0.0028    0.003   285.17    83.23     0.75
 2Q1  0.0357064    0.0041    0.004    10.35    57.56      1.2
*SIG1 0.0359087    0.0066    0.004   339.12    31.03      3.3
*Q1   0.0372185    0.0288    0.004   346.53     7.15       58
*RHO1 0.0374209    0.0066    0.003     7.08    28.21      3.6
*O1   0.0387307    0.1465    0.004     4.90     1.53  1.5e+03
 TAU1 0.0389588    0.0041    0.003   326.75    40.57      1.8
 BET1 0.0400404    0.0020    0.004    68.52   111.50     0.33
*NO1  0.0402686    0.0115    0.004     8.17    21.93      7.2
 CHI1 0.0404710    0.0034    0.003   334.70    64.16      1.2
 PI1  0.0414385    0.0037    0.003    37.24    56.68      1.6
*P1   0.0415526    0.0486    0.004    11.10     4.03  1.8e+02
*S1   0.0416667    0.0207    0.005   301.10    13.17       18
*K1   0.0417807    0.1520    0.004    13.16     1.35  1.6e+03
*PSI1 0.0418948    0.0063    0.004    77.51    33.81      3.1
 PHI1 0.0420089    0.0030    0.003    42.34    62.74     0.92
 THE1 0.0430905    0.0016    0.003   242.59   121.37     0.31
*J1   0.0432929    0.0084    0.004    13.79    23.46      5.3
 SO1  0.0446027    0.0003    0.003   111.11   257.77    0.013
*OO1  0.0448308    0.0076    0.005    55.56    37.63      2.6
 UPS1 0.0463430    0.0025    0.004    74.80    93.55     0.41
 OQ2  0.0759749    0.0021    0.004   139.27   102.39     0.36
 EPS2 0.0761773    0.0030    0.004   301.98    70.67      0.6
 2N2  0.0774871    0.0051    0.004    95.28    40.77      1.5
 MU2  0.0776895    0.0031    0.003    82.48    64.73     0.98
*N2   0.0789992    0.0458    0.003   117.90     4.15  1.8e+02
*NU2  0.0792016    0.0101    0.004   133.44    20.79      7.4
*H1   0.0803973    0.0055    0.004    28.15    40.16      2.2
*M2   0.0805114    0.2397    0.003   122.89     0.84  5.5e+03
 H2   0.0806255    0.0036    0.003   354.44    56.11      1.3
 MKS2 0.0807396    0.0018    0.003   268.60   118.05     0.32
 LDA2 0.0818212    0.0028    0.003   205.52    68.67     0.82
*L2   0.0820236    0.0064    0.003   121.68    27.61      5.2
*T2   0.0832193    0.0049    0.003   140.54    43.74      2.3
*S2   0.0833333    0.0934    0.003   139.01     1.99  8.2e+02
 R2   0.0834474    0.0030    0.003    13.97    57.44      1.2
*K2   0.0835615    0.0250    0.004   134.65     9.09       44
 MSN2 0.0848455    0.0021    0.003    37.03   100.95     0.46
 ETA2 0.0850736    0.0019    0.003   198.10   112.85     0.32
 MO3  0.1192421    0.0048    0.003   293.74    37.99      1.9
 M3   0.1207671    0.0027    0.003   286.69    75.75     0.69
 SO3  0.1220640    0.0030    0.004   338.71    71.60     0.59
 MK3  0.1222921    0.0027    0.003   324.05    75.76      1.1
 SK3  0.1251141    0.0005    0.003   272.64   229.07    0.041
 MN4  0.1595106    0.0042    0.004    46.48    41.55      1.3
*M4   0.1610228    0.0091    0.003    79.00    20.89      7.8
 SN4  0.1623326    0.0004    0.002   106.21   267.75    0.031
*MS4  0.1638447    0.0058    0.003    86.75    29.70      2.8
 MK4  0.1640729    0.0014    0.003   105.75   133.28     0.21
 S4   0.1666667    0.0027    0.003   205.59    66.93     0.62
 SK4  0.1668948    0.0010    0.003   162.19   200.50     0.13
 2MK5 0.2028035    0.0014    0.003   242.83   137.59     0.25
 2SK5 0.2084474    0.0008    0.002   227.44   180.09     0.11
 2MN6 0.2400221    0.0008    0.002   180.19   194.95      0.1
 M6   0.2415342    0.0015    0.003   137.12   108.18     0.38
 2MS6 0.2443561    0.0009    0.002   113.20   184.28     0.14
 2MK6 0.2445843    0.0005    0.003   136.37   219.41    0.041
 2SM6 0.2471781    0.0008    0.002   197.26   173.81     0.11
 MSK6 0.2474062    0.0004    0.002   119.48   225.40    0.032
 3MK7 0.2833149    0.0006    0.002   319.70   196.51    0.069
 M8   0.3220456    0.0004    0.002     0.12   220.10    0.039
