
file name: temp.txt
date: 17-Sep-2018
nobs = 8808,  ngood = 8276,  record length (days) = 367.00
start time: 01-Jan-1943
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= -0.000867, x trend= 0

var(x)= 0.40778   var(xp)= 0.39574   var(xres)= 0.011972
percent var predicted/var original= 97.0 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SA   0.0001141    0.0723    0.003    24.27     2.64  4.8e+02
*SSA  0.0002282    0.0174    0.003    43.91    10.15       29
*MSM  0.0013098    0.0046    0.003   123.41    39.54      2.2
 MM   0.0015122    0.0026    0.003     1.58    78.98     0.89
*MSF  0.0028219    0.0268    0.003    62.33     7.14       63
*MF   0.0030501    0.0180    0.004    42.80    11.50       25
 ALP1 0.0343966    0.0049    0.004   154.17    53.58      1.4
*2Q1  0.0357064    0.0077    0.005   135.35    36.76      2.8
*SIG1 0.0359087    0.0132    0.004   169.48    16.18       12
*Q1   0.0372185    0.0419    0.004   133.76     5.64       88
*RHO1 0.0374209    0.0120    0.003   168.86    16.75       12
*O1   0.0387307    0.1702    0.004   146.26     1.22  2.2e+03
*TAU1 0.0389588    0.0084    0.003   186.08    17.89       11
 BET1 0.0400404    0.0044    0.004   334.68    44.98      1.4
*NO1  0.0402686    0.0054    0.002   157.25    20.62        6
*CHI1 0.0404710    0.0069    0.003   261.02    33.92        4
*PI1  0.0414385    0.0095    0.003   147.42    20.26      7.4
*P1   0.0415526    0.0822    0.003   168.06     2.62  5.6e+02
*S1   0.0416667    0.0289    0.004   217.58     9.16       42
*K1   0.0417807    0.2362    0.004   167.21     0.92  3.8e+03
*PSI1 0.0418948    0.0054    0.003   143.67    39.04      3.2
*PHI1 0.0420089    0.0113    0.003   247.59    16.19       14
*THE1 0.0430905    0.0081    0.003   246.77    28.10      5.4
*J1   0.0432929    0.0086    0.005   196.25    31.20        3
*SO1  0.0446027    0.0224    0.004   281.09     8.77       41
 OO1  0.0448308    0.0040    0.005   308.42    80.45     0.64
 UPS1 0.0463430    0.0055    0.006    18.13    69.27     0.77
 OQ2  0.0759749    0.0035    0.003   308.12    53.31      1.5
*EPS2 0.0761773    0.0124    0.003     1.60    15.21       15
 2N2  0.0774871    0.0042    0.003   292.44    42.33      1.4
*MU2  0.0776895    0.0538    0.003   353.44     2.96  2.9e+02
*N2   0.0789992    0.0847    0.003   286.41     2.18  6.5e+02
*NU2  0.0792016    0.0121    0.004   240.24    13.94       11
*H1   0.0803973    0.0286    0.004   306.44     6.70       61
*M2   0.0805114    0.6491    0.004   302.15     0.28  3.3e+04
*H2   0.0806255    0.0119    0.004   279.75    13.95       11
*MKS2 0.0807396    0.0353    0.004    22.62     6.64       73
*LDA2 0.0818212    0.0195    0.003   284.76     9.16       34
*L2   0.0820236    0.0319    0.003   306.99     5.19  1.4e+02
*T2   0.0832193    0.0151    0.003   315.19    12.53       20
*S2   0.0833333    0.4684    0.003   352.80     0.43    2e+04
*R2   0.0834474    0.0157    0.003   134.71    10.39       35
*K2   0.0835615    0.1504    0.004   355.97     1.58  1.4e+03
*MSN2 0.0848455    0.0140    0.003   130.43    14.94       21
*ETA2 0.0850736    0.0154    0.004    33.83    18.84       15
*MO3  0.1192421    0.0250    0.004   212.41     9.13       39
*M3   0.1207671    0.0068    0.003    19.87    32.27      4.3
*SO3  0.1220640    0.0390    0.004   258.10     5.47  1.1e+02
*MK3  0.1222921    0.0288    0.004   234.50     6.89       64
*SK3  0.1251141    0.0276    0.004   302.03     7.32       60
*MN4  0.1595106    0.0068    0.003    29.06    26.41      5.4
*M4   0.1610228    0.0337    0.003    40.33     5.00    1e+02
*SN4  0.1623326    0.0080    0.003   101.55    25.78      5.3
*MS4  0.1638447    0.0523    0.003    84.58     3.95  2.3e+02
*MK4  0.1640729    0.0174    0.004   103.09    12.97       16
*S4   0.1666667    0.0232    0.004   175.74     7.81       41
*SK4  0.1668948    0.0118    0.004   151.97    20.21      7.9
 2MK5 0.2028035    0.0005    0.002     0.10   204.11    0.067
*2SK5 0.2084474    0.0100    0.003    82.83    19.98      8.5
 2MN6 0.2400221    0.0030    0.003   269.48    58.96      1.1
*M6   0.2415342    0.0053    0.003   295.95    33.49      3.1
*2MS6 0.2443561    0.0119    0.003     6.95    13.89       13
 2MK6 0.2445843    0.0037    0.003    12.20    58.40      1.2
*2SM6 0.2471781    0.0078    0.003    30.97    21.67      6.8
*MSK6 0.2474062    0.0089    0.003    62.23    25.49        7
 3MK7 0.2833149    0.0007    0.002   332.79   173.72    0.095
 M8   0.3220456    0.0004    0.002    96.83   229.42     0.04
