
file name: temp.txt
date: 31-Aug-2018
nobs = 8784,  ngood = 7085,  record length (days) = 366.00
start time: 01-Jan-2011
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= -0.00064, x trend= 0

var(x)= 0.26322   var(xp)= 0.26194   var(xres)= 0.0012296
percent var predicted/var original= 99.5 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SA   0.0001141    0.0899    0.001    70.36     0.82  6.4e+03
*SSA  0.0002282    0.0387    0.001   125.32     1.91  8.1e+02
*MSM  0.0013098    0.0048    0.001   103.64    14.40       13
*MM   0.0015122    0.0042    0.001   329.79    15.28       11
*MSF  0.0028219    0.0090    0.001   162.90     8.26       52
*MF   0.0030501    0.0128    0.001   325.71     5.25  1.1e+02
*ALP1 0.0343966    0.0025    0.001   325.07    27.15      4.7
*2Q1  0.0357064    0.0068    0.001   343.06    10.11       29
*SIG1 0.0359087    0.0073    0.001   345.66    10.14       36
*Q1   0.0372185    0.0440    0.001   355.09     1.59  1.4e+03
*RHO1 0.0374209    0.0084    0.001   358.29     8.08       47
*O1   0.0387307    0.1981    0.001   353.18     0.34  2.4e+04
*TAU1 0.0389588    0.0030    0.001     4.56    21.17      6.7
*BET1 0.0400404    0.0022    0.001    23.94    27.23      3.4
*NO1  0.0402686    0.0113    0.001   347.10     5.04  1.2e+02
*CHI1 0.0404710    0.0035    0.001   346.96    19.50       10
*PI1  0.0414385    0.0034    0.001    13.80    20.09      8.8
*P1   0.0415526    0.1213    0.001   349.05     0.59  9.9e+03
*S1   0.0416667    0.0417    0.002   320.01     2.22  6.1e+02
*K1   0.0417807    0.3941    0.001   350.17     0.18  1.1e+05
*PSI1 0.0418948    0.0060    0.001   357.30    11.55       32
*PHI1 0.0420089    0.0041    0.001   349.77    15.32       16
*THE1 0.0430905    0.0056    0.001   358.96    13.05       20
*J1   0.0432929    0.0237    0.001   358.18     2.68  4.1e+02
*SO1  0.0446027    0.0042    0.001    31.72    14.77       11
*OO1  0.0448308    0.0186    0.001    23.88     3.79  2.7e+02
*UPS1 0.0463430    0.0039    0.001    38.01    15.75       10
*OQ2  0.0759749    0.0027    0.001    77.99    28.34      4.6
*EPS2 0.0761773    0.0055    0.001    86.06    11.59       24
*2N2  0.0774871    0.0259    0.001   101.12     2.49  5.2e+02
*MU2  0.0776895    0.0238    0.001    97.64     2.82  3.3e+02
*N2   0.0789992    0.1380    0.001   132.56     0.51  1.1e+04
*NU2  0.0792016    0.0250    0.001   136.32     2.45  4.4e+02
*H1   0.0803973    0.0035    0.001    36.99    16.09       10
*M2   0.0805114    0.4828    0.001   135.53     0.14  1.5e+05
 H2   0.0806255    0.0007    0.001   320.41    93.94     0.41
*MKS2 0.0807396    0.0016    0.001   219.42    49.21      2.1
*LDA2 0.0818212    0.0040    0.001    90.62    16.89       11
*L2   0.0820236    0.0092    0.001   133.31     8.71       42
*T2   0.0832193    0.0112    0.001   162.64     5.58    1e+02
*S2   0.0833333    0.2187    0.001   155.97     0.33  3.9e+04
*R2   0.0834474    0.0019    0.001   261.02    29.08      3.8
*K2   0.0835615    0.0589    0.001   151.07     1.38  2.1e+03
*MSN2 0.0848455    0.0042    0.001   327.76    16.50       15
*ETA2 0.0850736    0.0046    0.001   191.38    14.99       18
*MO3  0.1192421    0.0019    0.001   329.05    38.53      2.8
*M3   0.1207671    0.0065    0.001    79.45    11.24       29
 SO3  0.1220640    0.0009    0.001   190.04    71.76     0.68
 MK3  0.1222921    0.0014    0.001   265.18    43.48      1.6
*SK3  0.1251141    0.0038    0.001   320.38    19.50       12
*MN4  0.1595106    0.0039    0.001    77.71    17.33       10
*M4   0.1610228    0.0048    0.001   137.31    15.13       17
 SN4  0.1623326    0.0006    0.001   162.15   116.20     0.44
 MS4  0.1638447    0.0018    0.001   325.84    32.64        2
 MK4  0.1640729    0.0008    0.001   357.65    96.13     0.53
*S4   0.1666667    0.0015    0.001   144.35    36.47      2.4
 SK4  0.1668948    0.0010    0.001    83.93    65.62     0.71
 2MK5 0.2028035    0.0007    0.001     9.81   105.45     0.36
 2SK5 0.2084474    0.0002    0.001    12.84   184.76    0.088
*2MN6 0.2400221    0.0022    0.001    14.31    27.52      3.7
*M6   0.2415342    0.0029    0.001    82.23    21.11      6.3
 2MS6 0.2443561    0.0015    0.001   262.73    48.76      1.7
 2MK6 0.2445843    0.0013    0.001   222.24    56.58      1.1
 2SM6 0.2471781    0.0010    0.001     8.07    64.67     0.91
 MSK6 0.2474062    0.0005    0.001   357.37   133.59     0.32
 3MK7 0.2833149    0.0004    0.001    36.32   145.94     0.23
 M8   0.3220456    0.0003    0.001   114.85   161.45     0.11
