
file name: temp.txt
date: 21-Dec-2018
nobs = 8784,  ngood = 8754,  record length (days) = 366.00
start time: 01-Jan-2003
rayleigh criterion = 1.0
Greenwich phase computed with nodal corrections applied to amplitude \n and phase relative to center time

x0= -0.000417, x trend= 0

var(x)= 0.52382   var(xp)= 0.50953   var(xres)= 0.014295
percent var predicted/var original= 97.3 %

     tidal amplitude and phase with 95% CI estimates

tide   freq       amp     amp_err    pha    pha_err     snr
*SA   0.0001141    0.3422    0.004   221.99     0.60  7.7e+03
*SSA  0.0002282    0.0444    0.004   127.68     5.19  1.1e+02
*MSM  0.0013098    0.0229    0.003    56.66     8.67       45
*MM   0.0015122    0.0150    0.004     5.14    14.81       14
*MSF  0.0028219    0.0214    0.004   268.19     9.66       33
 MF   0.0030501    0.0042    0.003     2.54    57.12      1.6
 ALP1 0.0343966    0.0022    0.003   307.58    83.20     0.58
 2Q1  0.0357064    0.0023    0.003    47.57    80.79     0.75
 SIG1 0.0359087    0.0020    0.003   306.44   101.05     0.44
 Q1   0.0372185    0.0015    0.002    59.66   118.59     0.39
 RHO1 0.0374209    0.0020    0.003   203.28    94.44     0.47
*O1   0.0387307    0.0502    0.003   258.02     4.05  3.3e+02
 TAU1 0.0389588    0.0025    0.004   304.47    98.16     0.46
 BET1 0.0400404    0.0019    0.003   167.02    95.00     0.55
*NO1  0.0402686    0.0103    0.003   270.84    15.65       11
 CHI1 0.0404710    0.0016    0.003   234.64   110.93     0.35
 PI1  0.0414385    0.0009    0.003   198.44   177.30    0.091
*P1   0.0415526    0.0431    0.004   260.54     4.13  1.4e+02
*S1   0.0416667    0.0624    0.005   221.17     5.13  1.3e+02
*K1   0.0417807    0.1329    0.003   270.03     1.47  1.6e+03
 PSI1 0.0418948    0.0018    0.003   320.59   103.35      0.4
 PHI1 0.0420089    0.0026    0.004   158.10    84.09     0.52
 THE1 0.0430905    0.0010    0.003   328.81   151.77     0.13
*J1   0.0432929    0.0118    0.003   256.83    14.57       14
 SO1  0.0446027    0.0024    0.003   138.80    87.69     0.69
*OO1  0.0448308    0.0053    0.002   260.53    30.73      4.6
 UPS1 0.0463430    0.0026    0.003   252.21    56.40        1
 OQ2  0.0759749    0.0035    0.004   354.15    68.61      0.8
 EPS2 0.0761773    0.0031    0.003   296.83    67.94     0.81
*2N2  0.0774871    0.0249    0.004    87.01     8.76       45
*MU2  0.0776895    0.0110    0.004   240.51    22.35      8.3
*N2   0.0789992    0.1785    0.004   123.45     1.19  1.8e+03
*NU2  0.0792016    0.0433    0.004   123.09     4.38  1.3e+02
*H1   0.0803973    0.0235    0.004    54.15     8.85       35
*M2   0.0805114    0.8462    0.004   130.49     0.26  5.4e+04
*H2   0.0806255    0.0333    0.004   261.53     6.74       79
*MKS2 0.0807396    0.0082    0.003   217.00    21.27      7.5
*LDA2 0.0818212    0.0182    0.003   126.05    11.16       28
*L2   0.0820236    0.0423    0.004   124.23     4.96  1.2e+02
*T2   0.0832193    0.0139    0.004   211.32    16.12       14
*S2   0.0833333    0.3532    0.004   163.14     0.60  9.3e+03
*R2   0.0834474    0.0128    0.003   145.49    13.34       21
*K2   0.0835615    0.1018    0.003   160.87     1.76  1.2e+03
*MSN2 0.0848455    0.0088    0.004    42.56    25.60      5.8
*ETA2 0.0850736    0.0043    0.003   201.14    41.12      2.2
*MO3  0.1192421    0.0061    0.003   218.66    30.49      3.7
 M3   0.1207671    0.0042    0.003   164.30    61.09      1.5
*SO3  0.1220640    0.0072    0.003   270.22    27.04      4.6
*MK3  0.1222921    0.0104    0.003   273.24    15.82      9.3
*SK3  0.1251141    0.0056    0.003   294.69    34.37      2.9
*MN4  0.1595106    0.0127    0.004   123.01    18.34       11
*M4   0.1610228    0.0268    0.004   136.11     7.88       48
*SN4  0.1623326    0.0080    0.003   186.11    27.34      5.8
*MS4  0.1638447    0.0203    0.004   173.37    11.29       29
*MK4  0.1640729    0.0077    0.003   165.58    23.96      7.8
*S4   0.1666667    0.0078    0.003   215.86    32.13        5
 SK4  0.1668948    0.0030    0.003   230.75    58.55      1.1
 2MK5 0.2028035    0.0039    0.004   179.40    60.76      1.2
 2SK5 0.2084474    0.0009    0.002    14.31   158.49     0.14
*2MN6 0.2400221    0.0121    0.004    90.36    18.75      9.7
*M6   0.2415342    0.0191    0.004    98.35    10.56       25
*2MS6 0.2443561    0.0258    0.004   138.93     8.20       38
*2MK6 0.2445843    0.0071    0.003   143.35    27.88        6
*2SM6 0.2471781    0.0069    0.004   172.58    29.01      3.8
*MSK6 0.2474062    0.0048    0.003   184.87    40.85      2.3
 3MK7 0.2833149    0.0011    0.003   229.90   160.67     0.15
 M8   0.3220456    0.0014    0.003   104.49   145.14     0.22
